"","Light_Level","Coral.ID","Intercept","µmol.L.sec","Temp","Date","Sample.ID","Plug.Number","Chamber.Channel","Position","Bin.ID","Run","Species","Fragment.Number","Sample.Type","Temp.Cat","Water.Height.cm","Chamber.Vol.L","Surf.Area.cm2","Start.time","Stop.Time","Light_Dark","Light_Value","Notes","QC","Water.Height.in","sample.micromol.s","blank.micromol.s","corr.micromol.s","micromol.cm2.s","micromol.cm2.h"
"11",3,"BLANK_3",169.656396315789,-1.73684210525759e-05,28.235724137931,20190822,"BLANK_20190822",NA,6,6,NA,1,"P.astreoides",NA,"Blank",NA,23.7,18.4727962154088,NA,"11:01","11:21","Light",57,NA,NA,9.3307137,-0.000320843302687651,-0.000320843302687651,0,NA,NA
"12",3,"737_3",179.289791071429,-0.00043392857142846,27.4282068965517,20190822,"737_20190822",NA,9,9,NA,1,"P.astreoides",NA,"Sample",NA,23.2,18.06957011184,133.277,"11:01","11:21","Light",57,NA,NA,9.1338632,-0.00784090274495713,-0.000320843302687651,-0.00752005944226948,-5.64242850774663e-05,-0.203127426278879
"13",3,"776_3",189.248861384615,-0.000279846153846154,28.3309310344828,20190822,"776_20190822",NA,7,7,NA,1,"P.astreoides",NA,"Sample",NA,23.1,17.9889248911263,105.527,"11:01","11:21","Light",57,NA,NA,9.0944931,-0.00503413144260903,-0.000320843302687651,-0.00471328813992138,-4.46642862956531e-05,-0.160791430664351
"14",3,"757_3",184.80424137218,-0.000359417293233104,28.2318620689655,20190822,"757_20190822",NA,8,8,NA,1,"P.astreoides",NA,"Sample",NA,23.1,17.9889248911263,100.473,"11:01","11:21","Light",57,NA,NA,9.0944931,-0.0064655306925422,-0.000320843302687651,-0.00614468738985455,-6.11575984578399e-05,-0.220167354448224
"15",3,"717_3",164.481672951128,-0.000545883458646625,28.0696551724138,20190822,"717_20190822",NA,10,10,NA,1,"P.astreoides",NA,"Sample",NA,23.3,18.1502153325538,116.493,"11:01","11:21","Light",57,NA,NA,9.1732333,-0.00990790232091545,-0.000320843302687651,-0.0095870590182278,-8.22972969897573e-05,-0.296270269163126
"16",4,"776_4",188.885484583333,0.000434464285714397,28.3354444444444,20190822,"776_20190822",NA,7,7,NA,1,"P.astreoides",NA,"Sample",NA,23.1,17.9889248911263,105.527,"11:22","11:42","Light",108,NA,NA,9.0944931,0.00781554540359311,-0.0021824740349194,0.00999801943851251,9.4743709557862e-05,0.341077354408303
"17",4,"BLANK_4",169.629767717949,-0.000118145299145287,28.242,20190822,"BLANK_20190822",NA,6,6,NA,1,"P.astreoides",NA,"Blank",NA,23.7,18.4727962154088,NA,"11:22","11:42","Light",108,NA,NA,9.3307137,-0.0021824740349194,-0.0021824740349194,0,NA,NA
"18",4,"757_4",184.442721544118,-0.00027154411764708,28.2581851851852,20190822,"757_20190822",NA,8,8,NA,1,"P.astreoides",NA,"Sample",NA,23.1,17.9889248911263,100.473,"11:22","11:42","Light",108,NA,NA,9.0944931,-0.00488478673698048,-0.0021824740349194,-0.00270231270206108,-2.68959093692941e-05,-0.0968252737294587
"19",4,"737_4",178.982226158009,0.000169512987013019,27.4884444444444,20190822,"737_20190822",NA,9,9,NA,1,"P.astreoides",NA,"Sample",NA,23.2,18.06957011184,133.277,"11:22","11:42","Light",108,NA,NA,9.1338632,0.00306302680369916,-0.0021824740349194,0.00524550083861856,3.93578849960501e-05,0.14168838598578
"20",4,"717_4",163.701795588235,-0.000285784313725481,28.0932222222222,20190822,"717_20190822",NA,10,10,NA,1,"P.astreoides",NA,"Sample",NA,23.3,18.1502153325538,116.493,"11:22","11:42","Light",108,NA,NA,9.1732333,-0.00518704683278359,-0.0021824740349194,-0.00300457279786419,-2.57918741715312e-05,-0.0928507470175124
"21",5,"776_5",189.151653666667,0.000685608695652085,28.2962142857143,20190822,"776_20190822",NA,7,7,NA,1,"P.astreoides",NA,"Sample",NA,23.1,17.9889248911263,105.527,"11:44","12:04","Light",164,NA,NA,9.0944931,0.0123333633307884,-0.00302656973707897,0.0153599330678674,0.000145554531711006,0.523996314159622
"22",5,"717_5",163.912644565217,-7.93478260869446e-05,28.1288571428571,20190822,"717_20190822",NA,10,10,NA,1,"P.astreoides",NA,"Sample",NA,23.3,18.1502153325538,116.493,"11:44","12:04","Light",164,NA,NA,9.1732333,-0.00144018012964807,-0.00302656973707897,0.00158638960743089,1.36178964180757e-05,0.0490244271050726
"23",5,"757_5",185.689564910714,7.79464285714152e-05,28.3031785714286,20190822,"757_20190822",NA,8,8,NA,1,"P.astreoides",NA,"Sample",NA,23.1,17.9889248911263,100.473,"11:44","12:04","Light",164,NA,NA,9.0944931,0.00140217244910273,-0.00302656973707897,0.00442874218618169,4.40789285298706e-05,0.158684142707534
"24",5,"BLANK_5",169.442453125,-0.000163839285714331,28.2567142857143,20190822,"BLANK_20190822",NA,6,6,NA,1,"P.astreoides",NA,"Blank",NA,23.7,18.4727962154088,NA,"11:44","12:04","Light",164,NA,NA,9.3307137,-0.00302656973707897,-0.00302656973707897,0,NA,NA
"25",5,"737_5",180.223480394737,0.000356447368421083,27.5603928571429,20190822,"737_20190822",NA,9,9,NA,1,"P.astreoides",NA,"Sample",NA,23.2,18.06957011184,133.277,"11:44","12:04","Light",164,NA,NA,9.1338632,0.00644085071486563,-0.00302656973707897,0.0094674204519446,7.10356659584519e-05,0.255728397450427
"26",6,"BLANK_6",169.345829340659,-0.000222747252747394,28.2798518518519,20190822,"BLANK_20190822",NA,6,6,NA,1,"P.astreoides",NA,"Blank",NA,23.7,18.4727962154088,NA,"12:06","12:26","Light",270,NA,NA,9.3307137,-0.00411476460754475,-0.00411476460754475,0,NA,NA
"27",6,"776_6",190.108559285714,0.000783571428571321,28.3292592592593,20190822,"776_20190822",NA,7,7,NA,1,"P.astreoides",NA,"Sample",NA,23.1,17.9889248911263,105.527,"12:06","12:26","Light",270,NA,NA,9.0944931,0.014095607575402,-0.00411476460754475,0.0182103721829468,0.000172565999061347,0.621237596620849
"28",6,"757_6",185.646130521739,-2.70434782609849e-05,28.3662222222222,20190822,"757_20190822",NA,8,8,NA,1,"P.astreoides",NA,"Sample",NA,23.1,17.9889248911263,100.473,"12:06","12:26","Light",270,NA,NA,9.0944931,-0.000486483099231664,-0.00411476460754475,0.00362828150831309,3.6112005298071e-05,0.130003219073056
"29",6,"717_6",163.88725425,0.00018267307692305,28.1784444444444,20190822,"717_20190822",NA,10,10,NA,1,"P.astreoides",NA,"Sample",NA,23.3,18.1502153325538,116.493,"12:06","12:26","Light",270,NA,NA,9.1732333,0.00331555568161351,-0.00411476460754475,0.00743032028915826,6.37834057768128e-05,0.229620260796526
"30",6,"737_6",180.761564695088,0.000500804630152477,27.645037037037,20190822,"737_20190822",NA,9,9,NA,1,"P.astreoides",NA,"Sample",NA,23.2,18.06957011184,133.277,"12:06","12:26","Light",270,NA,NA,9.1338632,0.00904932437687428,-0.00411476460754475,0.013164088984419,9.87723987216026e-05,0.355580635397769
"31",7,"BLANK_7",171.795530452899,-0.000138423913043561,28.1621290322581,20190822,"BLANK_20190822",NA,6,6,NA,1,"P.astreoides",NA,"Blank",NA,23.7,18.4727962154088,NA,"12:30","12:52","Light",465,NA,NA,9.3307137,-0.00255707673699317,-0.00255707673699317,0,NA,NA
"32",7,"757_7",186.092209362648,-0.000113512845849741,28.4845161290323,20190822,"757_20190822",NA,8,8,NA,1,"P.astreoides",NA,"Sample",NA,23.1,17.9889248911263,100.473,"12:30","12:52","Light",465,NA,NA,9.0944931,-0.00204197405816899,-0.00255707673699317,0.00051510267882418,5.12677713240553e-06,0.0184563976766599
"33",7,"737_7",182.112620898551,0.000928086956521676,27.7854516129032,20190822,"737_20190822",NA,9,9,NA,1,"P.astreoides",NA,"Sample",NA,23.2,18.06957011184,133.277,"12:30","12:52","Light",465,NA,NA,9.1338632,0.0167701323307526,-0.00255707673699317,0.0193272090677458,0.000145015336987971,0.522055213156695
"34",7,"776_7",193.824112969925,9.4548872180445e-05,28.3507419354839,20190822,"776_20190822",NA,7,7,NA,1,"P.astreoides",NA,"Sample",NA,23.1,17.9889248911263,105.527,"12:30","12:52","Light",465,NA,NA,9.0944931,0.00170083256019472,-0.00255707673699317,0.00425790929718789,4.03490035458972e-05,0.14525641276523
"35",7,"717_7",164.215613122605,0.000367993979200888,28.2755806451613,20190822,"717_20190822",NA,10,10,NA,1,"P.astreoides",NA,"Sample",NA,23.3,18.1502153325538,116.493,"12:30","12:52","Light",465,NA,NA,9.1732333,0.00667916996357943,-0.00255707673699317,0.0092362467005726,7.92858515153065e-05,0.285429065455103
"36",8,"BLANK_8",171.58295201049,-0.0001618006993009,28.2287857142857,20190822,"BLANK_20190822",NA,6,6,NA,1,"P.astreoides",NA,"Blank",NA,23.7,18.4727962154088,NA,"12:54","13:14","Light",535,NA,NA,9.3307137,-0.00298891134569615,-0.00298891134569615,0,NA,NA
"37",8,"757_8",185.84356047619,-5.57142857142716e-05,28.6305185185185,20190822,"757_20190822",NA,8,8,NA,1,"P.astreoides",NA,"Sample",NA,23.1,17.9889248911263,100.473,"12:54","13:14","Light",535,NA,NA,9.0944931,-0.00100224010107678,-0.00298891134569615,0.00198667124461937,1.97731852798201e-05,0.0711834670073524
"38",8,"776_8",194.073311373626,0.000558956043956009,28.4312142857143,20190822,"776_20190822",NA,7,7,NA,1,"P.astreoides",NA,"Sample",NA,23.1,17.9889248911263,105.527,"12:54","13:14","Light",535,NA,NA,9.0944931,0.0100550182921657,-0.00298891134569615,0.0130439296378619,0.000123607509337533,0.444987033615119
"39",8,"737_8",183.513922706767,0.000920150375939864,27.9388888888889,20190822,"737_20190822",NA,9,9,NA,1,"P.astreoides",NA,"Sample",NA,23.2,18.06957011184,133.277,"12:54","13:14","Light",535,NA,NA,9.1338632,0.0166267217314813,-0.00298891134569615,0.0196156330771775,0.000147179431388593,0.529845952998933
"40",8,"717_8",164.766554175824,0.000237032967032944,28.3916666666667,20190822,"717_20190822",NA,10,10,NA,1,"P.astreoides",NA,"Sample",NA,23.3,18.1502153325538,116.493,"12:54","13:14","Light",535,NA,NA,9.1732333,0.00430219939256205,-0.00298891134569615,0.00729111073825819,6.25884022066407e-05,0.225318247943906
"41",9,"776_9",194.820695330882,0.000757610294117677,28.53425,20190822,"776_20190822",NA,7,7,NA,1,"P.astreoides",NA,"Sample",NA,23.1,17.9889248911263,105.527,"13:16","13:35","Light",625,NA,NA,9.0944931,0.013628594677627,-0.00362519498851655,0.0172537896661435,0.00016350118610539,0.588604269979405
"42",9,"757_9",186.018093102855,-0.000370020639834953,28.8093928571429,20190822,"757_20190822",NA,8,8,NA,1,"P.astreoides",NA,"Sample",NA,23.1,17.9889248911263,100.473,"13:16","13:35","Light",625,NA,NA,9.0944931,-0.00665627349815745,-0.00362519498851655,-0.00303107850964089,-3.01680900305644e-05,-0.108605124110032
"43",9,"717_9",165.126195393162,0.000247683760683719,28.5304285714286,20190822,"717_20190822",NA,10,10,NA,1,"P.astreoides",NA,"Sample",NA,23.3,18.1502153325538,116.493,"13:16","13:35","Light",625,NA,NA,9.1732333,0.00449551359078622,-0.00362519498851655,0.00812070857930277,6.97098416153999e-05,0.25095542981544
"44",9,"737_9",185.253586950549,0.000797664835164866,28.1046785714286,20190822,"737_20190822",NA,9,9,NA,1,"P.astreoides",NA,"Sample",NA,23.2,18.06957011184,133.277,"13:16","13:35","Light",625,NA,NA,9.1338632,0.0144134606647608,-0.00362519498851655,0.0180386556532774,0.000135347101549985,0.487249565579947
"45",9,"BLANK_9",171.346378063241,-0.000196245059288461,28.3128214285714,20190822,"BLANK_20190822",NA,6,6,NA,1,"P.astreoides",NA,"Blank",NA,23.7,18.4727962154088,NA,"13:16","13:35","Light",625,NA,NA,9.3307137,-0.00362519498851655,-0.00362519498851655,0,NA,NA
